Algorithm,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k,cardinality_constraint,num_of_partitions
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 2775, 975, 1590, 520, 634, 2018, 2089, 492, 17, 454, 2416, 2648, 4092, 414, 754, 374, 1663, 1922]",25735,31200,5465,17.626430729869753,,,1,800,5,40,5,50,6,,6,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 2775, 975, 251, 520, 634, 2018, 2089, 454, 848, 2416, 2648, 4092, 414, 2448, 3151, 627]",24010,28000,3990,1.685906614176929,,,1,800,5,40,5,50,6,,6,5
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209]",14950,15200,250,11.149858514079824,,,1,800,5,40,5,50,6,,7,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209]",14950,15200,250,2.2795662758871917,,,1,800,5,40,5,50,6,,7,1
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 975, 1590, 17, 374, 752, 840, 1663]",19000,23200,4200,11.608494410058483,,,1,800,5,40,5,50,6,,7,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 975, 1590, 1826, 2379, 2448, 3151, 627]",18600,22400,3800,1.5007218040991577,,,1,800,5,40,5,50,6,,7,2
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 975, 1590, 863, 767, 4392, 1936, 454]",20385,22400,2015,22.454674066975713,,,1,800,5,40,5,50,6,,7,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 975, 1590, 863, 767, 4392, 1936, 454]",20385,22400,2015,1.7281929180026054,,,1,800,5,40,5,50,6,,7,3
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 1590, 2089, 492, 705, 733, 961, 1123, 17, 374, 840, 1663, 2448, 3050]",25010,30400,5390,20.12113177892752,,,1,800,5,40,5,50,6,,7,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 2089, 149, 492, 705, 733, 961, 2379, 2448, 3151, 627]",22910,26400,3490,1.6190557389054447,,,1,800,5,40,5,50,6,,7,4
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 1590, 520, 634, 2089, 492, 705, 733, 17, 2648, 4092, 414, 754, 2120, 4246, 374, 1663, 2335, 2448]",28160,34400,6240,46.91362637490965,,,1,800,5,40,5,50,6,,7,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 251, 520, 634, 2089, 492, 705, 848, 2648, 4092, 414, 754, 2120, 4246, 2448, 627]",26385,30400,4015,1.8097695549950004,,,1,800,5,40,5,50,6,,7,5
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775]",16450,16800,350,11.050877839094028,,,1,800,5,40,5,50,6,,8,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775]",16450,16800,350,1.5659559560008347,,,1,800,5,40,5,50,6,,8,1
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 1590, 17, 374, 840, 1663, 1922, 2335]",20800,25600,4800,11.873762130970135,,,1,800,5,40,5,50,6,,8,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 1590, 2379, 2448, 3151, 627, 1101]",19800,24000,4200,1.6201516899745911,,,1,800,5,40,5,50,6,,8,2
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 1590, 863, 767, 4392, 1936, 454, 2512]",22485,24800,2315,21.78930499195121,,,1,800,5,40,5,50,6,,8,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 1590, 863, 767, 4392, 1936, 454, 2512]",22485,24800,2315,1.584415408084169,,,1,800,5,40,5,50,6,,8,3
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 1590, 129, 2089, 492, 705, 733, 961, 1123, 1458, 17, 374, 1663, 2448, 3050, 3151]",26485,32000,5515,53.131802451098345,,,1,800,5,40,5,50,6,,8,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 129, 975, 2089, 149, 492, 705, 733, 961, 1123, 2379, 2448, 3151, 627]",24385,28000,3615,1.888339634053409,,,1,800,5,40,5,50,6,,8,4
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 1590, 129, 634, 2089, 492, 705, 733, 961, 1123, 17, 2648, 4092, 414, 754, 2120, 4246, 374, 1663, 2448]",29310,35200,5890,101.4846156258136,,,1,800,5,40,5,50,6,,8,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 129, 975, 251, 634, 2089, 492, 705, 733, 961, 848, 2648, 4092, 414, 754, 2120, 4246, 2448, 627]",27835,32000,4165,1.6481673410162332,,,1,800,5,40,5,50,6,,8,5
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975]",17600,18400,800,11.828033545985818,,,1,800,5,40,5,50,6,,9,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 129]",17225,17600,375,1.9037550960201768,,,1,800,5,40,5,50,6,,9,1
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 1590, 129, 17, 374, 840, 1663, 1922, 2335, 2448]",21875,27200,5325,13.7955985609442,,,1,800,5,40,5,50,6,,9,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 129, 975, 1590, 2379, 2448, 3151, 627, 1101]",20575,24800,4225,1.6644951088819653,,,1,800,5,40,5,50,6,,9,2
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 1590, 129, 767, 4392, 1936, 454, 2512, 4092, 414]",23745,26400,2655,23.558243782958016,,,1,800,5,40,5,50,6,,9,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 129, 975, 1590, 767, 4392, 1936, 454, 2512, 4092, 414]",23745,26400,2655,1.8382471750956029,,,1,800,5,40,5,50,6,,9,3
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 1590, 129, 766, 2089, 492, 733, 961, 1123, 1458, 1475, 2105, 17, 374, 1663, 2448, 3050]",27660,32800,5140,52.570360000012435,,,1,800,5,40,5,50,6,,9,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 129, 766, 975, 2089, 149, 492, 733, 961, 1123, 1458, 1475, 2448, 627]",25260,28000,2740,1.5560029121115804,,,1,800,5,40,5,50,6,,9,4
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 1590, 129, 766, 634, 2089, 492, 733, 961, 1123, 1458, 1475, 17, 4092, 414, 754, 2120, 374, 1663, 2448]",29635,35200,5565,99.1586589240469,,,1,800,5,40,5,50,6,,9,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 129, 766, 975, 251, 634, 2089, 492, 733, 961, 1123, 1458, 848, 4092, 414, 754, 2120, 4246, 2448, 627]",28710,32800,4090,1.5718446439132094,,,1,800,5,40,5,50,6,,9,5
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 1590]",18700,20000,1300,12.19836625806056,,,1,800,5,40,5,50,6,,10,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 129, 766]",18000,18400,400,1.5829762001521883,,,1,800,5,40,5,50,6,,10,1
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 1590, 129, 766, 17, 374, 840, 1663, 1922, 2335, 2448, 3050]",22950,28800,5850,12.726484789978715,,,1,800,5,40,5,50,6,,10,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 129, 766, 975, 1590, 2379, 2448, 3151, 627]",21350,24800,3450,1.6823950740508735,,,1,800,5,40,5,50,6,,10,2
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 1590, 129, 766, 767, 4392, 1936, 2512, 4092, 414, 754, 2120]",25020,28000,2980,24.612310381140556,,,1,800,5,40,5,50,6,,10,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 129, 766, 975, 1590, 767, 4392, 1936, 2512, 4092, 414, 754, 2120]",25020,28000,2980,1.6339571031276137,,,1,800,5,40,5,50,6,,10,3
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 1590, 129, 766, 1071, 2089, 492, 733, 961, 1458, 1475, 2105, 3286, 4392, 374, 1663, 2448, 3050]",28485,32800,4315,55.3052890500985,,,1,800,5,40,5,50,6,,10,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 129, 766, 1071, 975, 2089, 149, 492, 733, 961, 1458, 1475, 2105, 3286, 2448, 627]",26735,29600,2865,2.1266431389376517,,,1,800,5,40,5,50,6,,10,4
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 975, 1590, 129, 766, 1071, 634, 2089, 492, 733, 961, 1458, 1475, 2105, 3286, 17, 4092, 414, 754, 2120, 374, 1663, 2448]",31110,36800,5690,105.00303084496409,,,1,800,5,40,5,50,6,,10,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 2775, 129, 766, 1071, 975, 251, 634, 2089, 492, 733, 961, 1458, 1475, 2105, 848, 4092, 414, 754, 2120, 2448, 627]",29635,33600,3965,1.5037095439620316,,,1,800,5,40,5,50,6,,10,5
partition_matroid_greedy,[1624],3900,4000,100,9.177400670014322,,,1,800,5,40,5,50,7,,1,1
cost_scaled_partition_matroid_scaled_lazy_greedy,[1624],3900,4000,100,2.4043575110845268,,,1,800,5,40,5,50,7,,1,1
partition_matroid_greedy,"[1624, 1562]",6000,6400,400,9.33785109501332,,,1,800,5,40,5,50,7,,1,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1624, 1562]",6000,6400,400,1.812271880917251,,,1,800,5,40,5,50,7,,1,2
partition_matroid_greedy,"[1624, 2609, 4270]",6995,8000,1005,8.621968511957675,,,1,800,5,40,5,50,7,,1,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1624, 2609, 4270]",6995,8000,1005,2.3759892010129993,,,1,800,5,40,5,50,7,,1,3
