alg,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
unconstrained_linear,"{129, 1027, 6, 9, 2186, 12, 911, 786, 21, 23, 30, 1439, 32, 419, 168, 41, 1453, 179, 1076, 566, 315, 574, 324, 708, 336, 1232, 85, 981, 1243, 350, 105, 112, 1779, 638, 255}",27215,29600,2385,0.15347705100430176,,,0.5,800,5,40,5,50,7,
unconstrained_distorted_greedy,"{638, 3723, 1420, 2066, 1555, 3228, 4129, 1441, 3874, 932, 3362, 166, 1453, 2862, 431, 4529, 2866, 2995, 1076, 2869, 694, 2099, 2880, 2500, 2757, 2248, 3020, 1232, 4183, 3417, 3550, 4063, 2145, 751, 1010, 3833, 1662}",26896,30400,3504,0.8311512579675764,,,0.5,800,5,40,5,50,7,
stochastic_distorted_greedy,"{3723, 1420, 2066, 1555, 3228, 4129, 1441, 3874, 932, 3362, 4004, 166, 1453, 2862, 431, 4529, 2866, 2995, 1076, 2869, 694, 2099, 2880, 2500, 2757, 580, 2248, 3020, 1232, 4306, 4183, 3417, 3550, 4063, 2145, 751, 1010, 3833, 2170, 638}",28496,32800,4304,2.2916105409967713,,0.01,0.5,800,5,40,5,50,7,
distorted_greedy,"{3237, 2699, 2317, 3668, 3381, 3030, 3354}",6750,8000,1250,0.015772886981721967,,,0.005,800,5,40,4,50,8,
cost_scaled_greedy,"{3237, 2699, 2317, 3668, 3381, 3030}",6700,7200,500,0.013164532952941954,,,0.005,800,5,40,4,50,8,
cost_scaled_lazy_exact_greedy,"{3668, 3237, 3381, 3030, 2699, 2317}",6700,7200,500,0.0006483090110123158,,,0.005,800,5,40,4,50,8,
unconstrained_linear,"{0, 1, 4, 5, 6, 11, 16, 21}",7664,8800,1136,0.0007571310270577669,,,0.005,800,5,40,4,50,8,
unconstrained_distorted_greedy,"{3237, 2699, 3668, 3381, 3030}",5925,6400,475,0.0018348309677094221,,,0.005,800,5,40,4,50,8,
stochastic_distorted_greedy,"{3237, 2699, 2317, 3668, 3381, 3030}",6700,7200,500,0.005058891954831779,,0.01,0.005,800,5,40,4,50,8,
distorted_greedy,"{4544, 4482, 6, 1064, 2249, 74, 2123, 3244, 521, 2731, 2321, 1010, 4337, 3541, 1078, 3255, 2681, 3323}",20490,21600,1110,11.762208244006615,,,0.1,800,5,40,5,50,8,
cost_scaled_greedy,"{4544, 4482, 6, 1064, 2249, 74, 2123, 3244, 521, 2731, 2321, 1010, 4337, 3541, 1078, 3255, 2681, 3323}",20490,21600,1110,11.147079860966187,,,0.1,800,5,40,5,50,8,
cost_scaled_lazy_exact_greedy,"{4544, 4482, 6, 2249, 74, 521, 2123, 2321, 3541, 1064, 2731, 3244, 4337, 1010, 1078, 3255, 2681, 3323}",20490,21600,1110,0.012194865033961833,,,0.1,800,5,40,5,50,8,
unconstrained_linear,"{32, 1, 193, 194, 324, 6, 39, 104, 9, 201, 297, 268, 329, 49, 50, 85, 122, 283, 317, 447}",18450,20000,1550,0.019222534028813243,,,0.1,800,5,40,5,50,8,
unconstrained_distorted_greedy,"{4544, 2689, 4279, 6, 1064, 329, 74, 555, 3724, 2249, 2543, 4337, 2681, 3541, 2358, 55, 856, 3255, 4282, 3035}",16915,19200,2285,0.08529153099516407,,,0.1,800,5,40,5,50,8,
stochastic_distorted_greedy,"{2689, 6, 3724, 2060, 805, 1064, 1078, 4279, 55, 3255, 4544, 329, 74, 2249, 2123, 3541, 856, 3035, 868, 2543, 4337, 2681}",19465,21600,2135,0.18885348801268265,,0.01,0.1,800,5,40,5,50,8,
distorted_greedy,"{3464, 1806, 144, 2321, 1944, 1050, 2458, 816, 3509, 574, 1598, 64, 2249, 2379, 4177, 2898, 1234, 2643, 3541, 3669, 2906, 485, 618, 239, 4081, 3198}",21130,25600,4470,55.34658353502164,,,0.2,800,5,40,5,50,8,
cost_scaled_greedy,"{3464, 1806, 144, 2321, 1050, 2458, 816, 3509, 574, 64, 2249, 4177, 2898, 1234, 3541, 3669, 2906, 618, 239, 4081, 3198}",19330,20800,1470,43.368623174959794,,,0.2,800,5,40,5,50,8,
cost_scaled_lazy_exact_greedy,"{64, 3464, 2249, 1806, 144, 2321, 4177, 1234, 2898, 3541, 3669, 1050, 2458, 2906, 3198, 618, 239, 816, 4081, 3509, 574}",19330,20800,1470,0.0206939090276137,,,0.2,800,5,40,5,50,8,
unconstrained_linear,"{1, 135, 8, 520, 13, 14, 144, 410, 543, 36, 39, 176, 816, 182, 313, 574, 834, 592, 848, 92, 359, 239, 881, 508}",17925,20800,2875,0.04510811803629622,,,0.2,800,5,40,5,50,8,
unconstrained_distorted_greedy,"{2951, 2826, 1039, 1812, 1944, 1050, 2458, 816, 2356, 3509, 1082, 574, 64, 2249, 1234, 2643, 3541, 3669, 3417, 2906, 3035, 239, 4081, 3198}",18730,22400,3670,0.2136940750060603,,,0.2,800,5,40,5,50,8,
